,Vtot,Vcap,V,dVtot,dVcap,dV,theta,M,Date,Close,Signal
828,14336752.312423233,15425.299500932,14321326.981176265,892406.9814072928,69.04276105225863,892337.9386462405,69194351.6881819,11532391.948030317,2017-04-18,36.029998779296875,0
829,13942919.932404801,15528.937509325537,13927390.96314944,-393832.3800184319,103.63800839353684,-393936.01802682545,68800660.17222866,11466776.695371443,2017-04-19,35.82500076293945,0
830,13672722.964238372,15619.971955415678,13657102.960536921,-270196.9681664288,91.03444609014107,-270288.00261251896,68531796.24406691,11421966.040677818,2017-04-20,35.685001373291016,0
831,13631942.449149279,15701.48046114108,13616240.936942102,-40780.51508909324,81.50850572540133,-40862.023594818646,68493386.06490201,11415564.344150335,2017-04-21,35.665000915527344,0
832,13352224.68728558,15783.19230380209,13336441.463235741,-279717.7618636995,81.7118426610103,-279799.4737063605,68214917.76045088,11369152.960075147,2017-04-24,35.52000045776367,0
833,14312543.430013824,15783.762253559446,14296759.636014229,960318.742728245,0.5699497573552704,960318.1727784877,-80018648.77941445,13336441.463235741,2017-04-25,35.095001220703125,-1
834,13868400.540249543,15816.334482571896,13852584.174020935,-444142.8897642814,32.572229012449796,-444175.46199329384,-80463259.45186052,13410543.241976753,2017-04-26,35.290000915527344,0
835,13848520.162965368,15832.731015644795,13832687.400203686,-19880.377284175596,16.396533072899324,-19896.773817248497,-80486056.2078463,13414342.701307716,2017-04-27,35.29999923706055,0
836,13737025.874198891,15846.405504953516,13721179.436947899,-111494.28876647796,13.674489308721869,-111507.96325578667,-80600057.38323951,13433342.897206584,2017-04-28,35.349998474121094,0
837,14485315.557417525,15861.900256578772,14469453.625414908,748289.6832186342,15.494751625255708,748274.188467009,-79847642.66745855,13307940.444576425,2017-05-01,35.02000045776367,0
838,14110268.508869072,15902.152342974037,14094366.32478006,-375047.048548453,40.25208639526412,-375087.3006348483,-80223854.37421511,13370642.395702519,2017-05-02,35.185001373291016,0
839,14078979.157152802,15928.65523350645,14063050.470173256,-31289.351716271118,26.50289053241182,-31315.85460680353,-80258053.85705985,13376342.309509976,2017-05-03,35.20000076293945,0
840,14512767.929070713,15956.635553172788,14496811.261771502,433788.77191791165,27.980319666338314,433760.7915982453,-79824837.2137406,13304139.535623433,2017-05-04,35.0099983215332,0
841,14470067.248576056,16000.006009637018,14454067.21082038,-42700.6804946574,43.37045646423116,-42744.05095112163,-79870439.42344433,13311739.903907388,2017-05-05,35.029998779296875,0
842,14869996.417798098,16044.235936905447,14853952.150115155,399929.1692220418,44.22992726842898,399884.9392947734,-79471430.96070199,13245238.49345033,2017-05-08,34.85499954223633,0
843,14884325.638919909,16102.97637836299,14868222.630795509,14329.221121810882,58.74044145754279,14270.48068035334,-79460028.23384301,13243338.038973836,2017-05-09,34.849998474121094,0
844,14978342.599378081,16162.78312705631,14962179.784504987,94016.96045817269,59.80674869332048,93957.15370947937,-79368832.51216774,13228138.752027957,2017-05-10,34.810001373291016,0
845,14958469.280130388,16225.847729957,14942243.400654392,-19873.31924769364,63.06460290069193,-19936.38385059433,-79391629.26815352,13231938.21135892,2017-05-11,34.81999969482422,0
846,14410425.420790983,16284.901244642608,14394140.487800302,-548043.8593394042,59.0535146856077,-548102.9128540898,-79938847.08686598,13323141.181144329,2017-05-12,35.060001373291016,0
847,14640705.191376442,16325.536575347784,14624379.623055056,230279.77058545817,40.63533070517622,230239.135254753,-79710836.0383474,13285139.339724565,2017-05-15,34.959999084472656,0
848,14334640.456041923,16372.634987752865,14318267.78930813,-306064.7353345192,47.09841240508085,-306111.83374692424,-80018648.77941445,13336441.463235741,2017-05-16,35.095001220703125,0
849,15579971.686964054,16373.226222940473,15563598.428995075,1245331.2309221309,0.5912351876091574,1245330.6396869433,85909606.73584878,14318267.78930813,2017-05-17,35.60499954223633,1
850,15721927.285467949,16417.916424843166,15705509.337297067,141955.5985038949,44.69020190269209,141910.9083019922,86054381.1902601,14342396.86504335,2017-05-18,35.665000915527344,0
851,15815490.069384102,16467.151915979688,15799022.885722082,93562.78391615249,49.2354911365219,93513.54842501596,86150897.49320097,14358482.915533496,2017-05-19,35.70500183105469,0
852,15595831.127239168,16521.073027106268,15579310.022466023,-219658.94214493388,53.92111112657859,-219712.86325606046,85933740.41373463,14322290.068955772,2017-05-22,35.6150016784668,0
853,15029517.481310591,16570.474640816137,15012946.974923735,-566313.6459285766,49.40161370986963,-566363.0475422865,85366718.63933359,14227786.439888932,2017-05-23,35.380001068115234,0
854,15462969.23622016,16596.81211172575,15446372.392362395,433451.7549095686,26.337470909613355,433425.41743865894,85801032.79826625,14300172.133044375,2017-05-24,35.560001373291016,0
855,15508196.116296772,16638.511564539916,15491557.572986193,45226.880076611975,41.69945281416464,45185.18062379781,85849290.94973668,14308215.158289447,2017-05-25,35.58000183105469,0
856,15625944.561573777,16681.11813149813,15609263.41169624,117748.44527700626,42.606566958213065,117705.83871004805,85969931.72626215,14328321.954377025,2017-05-26,35.630001068115234,0
857,16071557.583456926,16725.29022874113,16054832.261482146,445613.02188314847,44.17209724300026,445568.84978590545,86416303.51983647,14402717.253306078,2017-05-30,35.814998626708984,0
858,16298589.437070748,16778.99769561859,16281810.40762909,227031.85361382115,53.70746687745727,226978.1461469437,86645527.43824573,14440921.23970762,2017-05-31,35.90999984741211,0
859,16114947.471099854,16847.169304120685,16098100.270049693,-183641.9659708945,68.17160850209652,-183710.1375793966,86464561.67130691,14410760.278551152,2017-06-01,35.834999084472656,0
860,17087763.887107443,16902.900656411573,17070860.954704992,972816.4160075912,55.731352290888026,972760.6846553003,87429706.29211311,14571617.715352185,2017-06-02,36.23500061035156,0
861,16545194.271907967,16997.028927850242,16528197.211234078,-542569.6151994767,94.12827143866858,-542663.7434709154,86886808.99129665,14481134.831882775,2017-06-05,36.0099983215332,0
862,17112829.488200564,17068.151776579292,17095761.30467795,567635.2162925985,71.1228487290516,567564.0934438695,87453830.76569769,14575638.460949615,2017-06-06,36.244998931884766,0
863,16665688.385507468,17162.459060580237,16648525.894700851,-447141.1026930954,94.3072840009445,-447235.40997709637,87007458.97212337,14501243.162020562,2017-06-07,36.060001373291016,0
864,16374051.47889495,17242.362238009253,16356809.084910905,-291636.9066125168,79.90317742901512,-291716.8097899458,86717910.06330076,14452985.010550126,2017-06-08,35.939998626708984,0
865,16322760.107739544,17312.02452527778,16305448.05146823,-51291.37115540654,69.66228726852404,-51361.03344267506,86669651.91183032,14444941.985305054,2017-06-09,35.91999816894531,0
866,16259426.91078651,17380.197635819142,16242046.681404656,-63333.19695303337,68.17311054136457,-63401.37006357474,86609336.12571822,14434889.35428637,2017-06-12,35.89500045776367,0
867,16222310.97022514,17382.168701467588,16204928.769777639,-37115.94056136926,1.9710656484462268,-37117.911627017704,-97229061.326208,16204843.554367999,2017-06-13,35.90999984741211,-1
868,17680901.85147231,17382.796392039305,17663519.02333424,1458590.8812471703,0.627690571715336,1458590.2535565984,97229572.61866583,16204928.769777639,2017-06-14,36.45000076293945,1
869,17530011.30233409,17451.863579108667,17512559.40700895,-150890.54913822026,69.06718706936405,-150959.61632528962,97082860.5184133,16180476.753068885,2017-06-15,36.39500045776367,0
870,17672530.46350914,17512.859441718407,17655017.57232139,142519.16117505066,60.995862609741344,142458.16531244092,97229572.61866583,16204928.769777639,2017-06-16,36.45000076293945,0
871,17481768.347227193,17581.848238359067,17464186.467242803,-190762.11628194415,68.9887966406594,-190831.1050785848,97042849.9775482,16173808.329591366,2017-06-19,36.380001068115234,0
872,18311274.936340153,17635.711890562456,18293639.19270356,829506.5891129597,53.86365220338961,829452.7254607563,97869761.62374893,16311626.937291488,2017-06-20,36.689998626708984,0
873,18520718.8472201,17726.121959713248,18502992.693514355,209443.91087994585,90.41006915079271,209353.50081079506,98083164.7425238,16347194.123753967,2017-06-21,36.77000045776367,0
874,18676608.876490127,17824.945183006832,18658783.899561085,155890.02927002532,98.82322329358554,155791.20604673174,98243217.08160497,16373869.513600828,2017-06-22,36.83000183105469,0
875,18618873.626259018,17931.353601460232,18600942.24091152,-57735.25023110854,106.408418453401,-57841.65864956194,98189866.30191125,16364977.716985209,2017-06-23,36.810001373291016,0
876,19016182.06053143,18032.034695711493,18998149.99408968,397308.4342724111,100.68109425125985,397207.7531781598,98589981.886183,16431663.647697166,2017-06-26,36.959999084472656,0
877,18047806.30748023,18158.474191076653,18029647.80154312,-968375.753051198,126.43949536516054,-968502.1925465631,97616358.13972972,16269393.023288287,2017-06-27,36.595001220703125,0
878,18510987.402767595,18159.310058810268,18492828.060962748,463181.0952873625,0.8358677336130291,463180.2594196289,-108177886.80925873,18029647.80154312,2017-06-28,36.439998626708984,-1
879,19282298.519773897,18187.38853131275,19264111.099496547,771311.1170063023,28.078472502483013,771283.0385337998,-107406040.75938536,17901006.793230895,2017-06-29,36.18000030517578,0
880,19656661.64500546,18248.09198727632,19638413.52127215,374363.1252315646,60.70345596357035,374302.42177560105,-107034958.53214164,17839159.75535694,2017-06-30,36.05500030517578,0
881,20310770.453176536,18336.765392241665,20292433.65603826,654108.808171076,88.67340496534604,654020.1347661107,-106381850.18834282,17730308.364723805,2017-07-03,35.834999084472656,0
882,20167154.146724526,18454.409814262042,20148699.705164228,-143616.30645200962,117.6444220203776,-143733.95087403,-106530280.81433414,17755046.802389022,2017-07-05,35.8849983215332,0
883,20953021.81158545,18571.47879857408,20934450.30104084,785867.6648609235,117.06898431203666,785750.5958766115,-105743588.30450238,17623931.38408373,2017-07-06,35.619998931884766,0
884,21533738.693403643,18729.163843037808,21515009.49781457,580716.881818195,157.68504446372847,580559.1967737313,-105164700.93596464,17527450.155994106,2017-07-07,35.42499923706055,0
885,21390129.59580844,18912.44154604191,21371217.12251636,-143609.09759520448,183.27770300410344,-143792.3752982086,-105313131.56195596,17552188.593659326,2017-07-10,35.474998474121094,0
886,21246508.52065248,19087.969831176517,21227420.519075267,-143621.07515595964,175.5282851346038,-143796.60344109425,-105461573.51247814,17576928.918746356,2017-07-11,35.525001525878906,0
887,20669489.29461267,19252.44578806648,20650236.817078568,-577019.2260398101,164.47595688996594,-577183.7019967,-106040460.88101588,17673410.14683598,2017-07-12,35.720001220703125,0
888,21206154.507641338,19394.460124520385,21186760.01577078,536665.2130286682,142.01433645390298,536523.1986922143,-105506101.56782244,17584350.26130374,2017-07-13,35.540000915527344,0
889,21092299.72608164,19560.267060228107,21072739.42727538,-113854.78155969709,165.806935707721,-114020.58849540481,-105624850.59842785,17604141.76640464,2017-07-14,35.58000183105469,0
890,20754842.774790898,19718.2139372311,20735124.52910763,-337456.9512907432,157.9468770029937,-337614.8981677462,-105966239.90575479,17661039.984292466,2017-07-17,35.69499969482422,0
891,19846719.534734406,19853.680572382964,19826865.82241599,-908123.2400564905,135.46663515186503,-908258.7066916424,-106871681.44619194,17811946.907698657,2017-07-18,36.0,0
